question_tag,n_b,n_p,n_bi,n_pi,n_q
b,8,0,24,0,3
b,13,0,27,0,9
b,10,0,11,0,7
plain,32,1,0,0,14
b,14,0,13,0,13
plain,7,1,51,0,7
b,3,0,18,0,3
b,4,0,14,0,4
b,4,0,2,0,4
b,8,0,31,0,3
b,12,0,23,0,11
b,11,0,35,0,3
b,5,0,18,0,4
b,7,0,38,0,5
b,9,0,17,0,4
b,12,0,18,0,9
b,14,0,12,0,6
b,6,0,21,0,3
b,7,0,22,0,4
b,11,0,11,0,5
b,13,0,12,0,5
b,5,0,16,0,5
b,14,0,11,0,2
b,5,0,14,0,4
b,11,0,5,0,6
b,6,0,22,0,6
plain,0,7,0,28,4
b,4,0,26,0,4
b,19,0,17,0,14
b,8,0,25,0,5
b,4,0,25,0,4
b,21,0,30,0,4
b,3,0,27,0,3
b,17,0,24,0,8
b,16,0,32,0,10
b,4,0,8,0,4
b,23,0,23,0,5
b,11,0,32,0,6
b,9,0,16,0,6
b,2,0,11,0,2
plain,15,0,19,1,1
b,4,0,18,0,4
b,4,0,21,0,4
b,20,0,22,0,7
b,7,0,22,0,4
b,7,0,46,0,5
plain,5,0,29,2,5
b,5,0,32,0,3
b,13,0,0,0,10
b,3,0,10,0,3
b,7,0,58,0,6
b,5,0,24,0,4
b,6,0,34,0,5
b,8,0,19,0,5
b,5,0,17,0,4
b,7,0,31,0,3
b,5,0,18,0,3
b,5,0,8,0,5
plain,0,9,0,14,3
b,16,0,15,0,4
b,12,0,20,0,10
b,11,0,22,0,4
b,14,0,35,0,7
b,47,0,0,0,15
b,4,0,20,0,3
b,5,0,15,0,2
plain,16,0,29,1,4
b,8,0,1,0,1
b,2,0,23,0,1
b,8,0,12,0,4
b,4,0,25,0,4
b,9,0,18,0,6
b,4,0,27,0,4
b,6,0,9,0,3
b,13,0,25,0,2
b,4,0,7,0,3
plain,7,0,33,2,4
b,3,0,20,0,3
b,8,0,20,0,5
b,7,0,28,0,3
b,5,0,12,0,5
b,4,0,22,0,2
b,2,0,10,0,2
b,5,0,10,0,4
b,4,0,32,0,4
plain,0,6,0,16,2
b,7,0,4,0,6
b,3,0,5,0,3
b,7,0,4,0,4
b,3,0,47,0,3
b,16,0,31,0,8
b,4,0,35,0,3
b,18,0,36,0,3
b,13,0,11,0,6
b,9,0,11,0,4
b,7,0,13,0,6
b,26,0,11,0,21
b,20,0,14,0,9
b,3,0,14,0,3
b,2,0,10,0,2
b,8,0,9,0,3
b,3,0,11,0,3
b,2,0,4,0,2
b,11,0,11,0,8
b,25,0,0,0,11
b,18,0,21,0,8
b,17,0,19,0,8
